,0,1,2,3,4
0,0,1,0,0,0
1,0,2,2,2,2
2,2,2,0,2,2
3,2,2,2,2,2
4,2,2,2,2,2
5,1,1,0,0,1
6,2,2,2,2,2
7,0,0,0,0,0
8,2,2,2,2,2
9,2,2,1,1,2
10,2,2,2,2,2
11,2,2,2,2,2
12,2,2,2,2,2
13,0,1,1,1,1
14,2,2,2,2,2
15,2,2,2,2,2
16,2,2,2,2,2
17,2,2,2,2,2
18,2,2,2,2,2
19,2,2,2,2,2
20,0,2,0,2,2
21,2,2,2,2,2
22,2,2,2,2,2
23,2,2,2,2,2
24,2,0,2,2,2
25,2,2,2,2,2
26,1,1,0,0,2
27,2,1,1,2,2
28,2,2,2,2,2
29,0,0,0,0,0
30,0,0,0,0,0
31,0,2,0,0,0
32,0,0,0,0,0
33,1,1,1,1,1
34,0,0,0,0,0
35,0,0,0,0,0
36,2,2,0,2,2
37,2,2,2,2,2
38,1,1,1,2,1
39,1,1,1,1,1
40,0,0,0,0,0
41,2,2,2,2,2
42,1,1,1,1,1
43,2,2,2,2,2
44,2,2,2,2,2
45,0,2,0,0,0
46,2,2,2,2,2
47,0,0,0,0,0
48,2,2,2,2,2
49,0,0,0,0,0
50,0,0,0,0,0
51,2,2,2,2,2
52,2,2,2,2,2
53,0,0,0,0,1
54,0,0,0,0,0
55,2,1,2,2,2
56,0,0,2,0,2
57,0,0,0,0,0
58,2,2,2,2,2
59,0,0,0,0,0
60,2,2,2,2,2
61,0,0,0,0,0
62,0,0,0,0,2
63,0,2,0,2,2
64,0,0,0,0,0
65,0,2,0,2,0
66,0,0,0,0,0
67,2,2,2,2,2
68,2,2,2,2,2
69,0,0,0,0,0
70,0,0,0,2,0
71,1,1,1,1,1
72,2,2,0,2,2
73,0,0,0,0,0
74,0,0,0,0,0
75,2,2,2,2,2
76,0,0,0,0,0
77,0,0,0,0,0
78,1,1,1,0,1
79,0,0,0,0,0
80,2,2,2,2,2
81,2,2,2,2,2
82,0,2,0,0,2
83,0,0,0,0,0
84,0,0,0,0,0
85,0,0,0,0,0
86,2,2,2,2,2
87,0,0,0,0,0
88,2,2,2,2,2
89,0,0,0,0,0
90,0,2,0,2,0
91,0,0,0,0,0
92,0,0,0,0,0
93,0,0,0,2,0
94,0,0,0,0,0
95,0,0,0,0,0
96,0,0,0,0,0
97,0,0,0,0,0
98,0,0,0,0,0
99,2,2,0,2,2
100,0,0,0,0,0
101,2,2,2,2,2
102,0,0,0,0,0
103,2,2,2,2,2
104,0,0,2,2,2
105,0,0,0,0,0
106,0,0,0,0,0
107,0,0,0,0,0
108,0,0,0,0,0
109,0,0,0,0,0
110,2,2,2,2,2
111,0,0,1,0,0
112,1,1,1,1,1
113,0,0,0,0,0
114,0,2,2,2,2
115,2,2,2,2,2
116,0,0,0,0,0
117,0,0,0,0,0
118,0,0,0,0,0
119,0,0,0,0,0
120,0,0,0,0,0
121,0,0,0,0,0
122,0,0,0,0,0
123,0,0,0,0,0
124,0,0,0,0,0
125,0,0,0,0,0
126,0,0,0,0,0
127,0,0,0,0,0
128,0,0,0,0,0
129,0,0,0,0,0
130,1,0,0,0,0
131,0,0,0,0,0
132,0,0,0,0,0
133,0,0,0,0,0
134,0,0,0,0,0
135,0,0,0,0,0
136,0,0,0,0,0
137,0,2,0,2,2
138,0,0,0,0,0
139,2,2,2,2,2
140,2,2,2,2,2
141,2,2,2,2,2
142,1,1,1,1,1
143,0,0,0,0,0
144,0,0,0,0,0
145,0,0,0,0,0
146,0,0,0,0,0
147,1,0,0,0,0
148,0,2,0,0,1
149,0,0,0,0,0
150,2,2,2,2,2
151,0,0,0,0,0
152,0,0,0,0,0
153,0,0,0,0,0
154,1,2,0,0,0
155,1,1,1,1,1
156,0,0,0,0,0
157,2,2,2,2,2
158,1,1,1,1,1
159,0,0,0,0,0
160,0,0,0,0,0
161,1,1,1,1,1
162,1,1,1,1,1
163,0,0,0,0,0
164,2,2,2,2,2
165,1,1,1,1,1
166,1,1,1,1,1
167,1,2,0,0,0
168,0,0,0,0,0
169,0,0,0,0,0
170,0,0,0,0,0
171,0,0,0,0,0
172,0,0,0,0,0
173,0,0,0,0,0
174,0,0,0,0,0
175,0,0,0,0,0
176,2,2,2,2,2
177,0,0,0,0,0
178,1,1,1,1,1
179,2,2,2,2,2
180,1,1,1,1,1
181,2,2,2,0,2
182,2,2,2,2,2
183,0,0,0,0,0
184,2,2,2,2,2
185,2,2,0,0,2
186,0,0,0,0,1
187,0,0,0,0,0
188,1,1,1,1,1
189,0,0,0,0,0
190,1,1,1,1,1
191,2,2,2,2,2
192,2,2,2,2,2
193,0,0,0,0,0
194,0,0,0,0,0
195,1,1,1,1,1
196,2,2,2,2,2
197,0,0,0,0,0
198,2,2,2,2,2
199,2,2,2,2,2
200,1,1,0,1,1
201,0,0,0,0,0
202,0,0,0,0,0
203,1,1,1,1,1
204,0,0,0,0,0
205,0,2,0,2,0
206,1,2,2,2,2
207,0,0,0,0,0
208,1,1,0,0,1
209,0,0,0,0,0
210,1,1,1,1,1
211,0,0,0,0,0
212,1,1,1,1,1
213,1,1,1,1,1
214,1,1,1,1,1
215,1,1,1,1,1
216,2,0,2,2,2
217,0,0,0,0,0
218,0,0,0,0,0
219,0,0,0,0,0
220,2,2,2,2,2
221,0,0,0,0,0
222,0,0,0,0,0
223,0,2,2,2,2
224,0,0,0,0,0
225,1,1,1,1,1
226,1,0,1,0,1
227,2,2,2,2,2
228,0,0,0,0,0
229,0,0,0,0,0
230,0,0,0,0,0
231,1,1,1,1,1
232,1,0,0,0,0
233,0,0,0,0,0
234,0,2,0,0,0
235,1,1,1,1,1
236,0,0,0,0,0
237,0,2,0,0,1
238,0,0,0,0,0
239,0,0,0,0,0
240,1,0,0,0,0
241,0,0,0,0,0
242,2,2,2,2,2
243,0,1,0,0,1
244,1,1,0,0,1
245,2,2,2,2,2
246,1,1,1,1,1
247,2,2,2,2,2
248,1,1,1,1,1
249,1,1,1,0,1
250,0,0,0,0,0
251,1,1,1,1,1
252,2,2,2,2,2
253,0,0,0,0,0
254,2,2,2,2,2
255,1,1,1,1,1
256,1,1,1,1,1
257,0,0,0,0,0
258,1,2,1,2,2
259,2,2,2,2,2
260,1,1,1,1,1
261,0,0,0,0,0
262,0,2,0,0,0
263,0,0,0,0,0
264,0,2,2,2,2
265,1,1,1,1,1
266,0,2,0,0,0
267,1,1,1,1,1
268,1,0,1,1,1
269,1,0,1,1,1
270,1,1,1,1,1
271,1,1,1,1,1
272,1,2,1,1,1
273,1,1,1,1,1
274,1,1,1,1,1
275,1,1,1,1,1
276,1,1,1,1,1
277,1,1,1,1,1
278,2,2,2,2,2
279,1,0,1,0,1
280,1,0,1,1,1
281,1,1,1,1,1
282,1,1,1,1,1
283,1,1,1,1,1
284,1,1,1,1,1
285,0,0,0,0,0
286,1,0,0,0,0
287,0,0,0,0,0
288,2,2,2,2,2
289,1,1,1,2,1
290,0,0,0,0,0
291,1,1,1,1,1
292,1,1,1,1,1
293,0,1,0,0,1
294,0,0,1,0,0
295,0,2,2,2,2
296,0,2,0,0,0
297,1,0,1,1,1
298,2,2,2,2,2
299,2,2,2,2,2
300,1,1,1,1,1
301,0,0,0,0,0
302,0,0,1,0,0
303,1,1,1,1,1
304,1,1,0,0,1
305,0,0,0,0,0
306,0,0,0,0,0
307,0,2,0,0,0
308,0,0,0,0,0
309,0,0,0,2,0
310,0,0,1,0,0
311,0,0,0,0,0
312,0,0,0,0,0
313,2,2,2,2,0
314,0,0,0,0,0
315,2,2,2,2,2
316,0,0,0,0,0
317,2,2,2,2,2
318,0,0,0,0,0
319,1,1,1,0,1
320,0,0,0,0,0
321,0,2,0,0,0
322,1,2,0,0,1
323,1,1,1,1,1
324,1,2,0,0,0
325,1,1,1,0,1
326,0,2,2,2,2
327,2,2,2,2,2
328,0,0,0,0,0
329,0,0,0,0,0
330,0,0,0,0,0
331,0,0,0,0,0
332,2,2,2,2,2
333,1,0,1,0,0
334,0,0,0,0,0
335,1,1,1,1,1
336,1,1,1,1,1
337,0,0,0,0,0
338,2,2,2,2,2
339,1,1,1,1,1
340,0,0,1,0,0
341,0,0,0,0,0
342,1,0,0,0,1
343,0,0,0,0,0
344,0,0,2,0,0
345,1,0,1,0,1
346,1,1,1,1,1
347,0,0,0,0,0
